,event_name,event_date,event_location,event_price,event_details,geolocation
726,Free Breathwork Healing Session - Oakland,"Multiple Dates Thu, 11 Jan 2024, 18:30 PST","Maia Rose Heals Youtube Oakland, CA 94501","Maia Rose Heals • Oakland, CA","J﻿oin Maia Rose for a free online Breathwork session. Breathwork is a powerful tool for penetrating the subconscious mind. It allows us to access and release pain, addressing it somatically, altering our brain chemistry, to lead a life that's lighter. Healing sessions can provide a sense of clarity, purpose and transformation. I﻿n this online session I will teach you concious connected Breathwork and lead you through a short Breathwork journey.  Hello my love, it's Maia hereAs a Breathworker and Healer, my mission is to transform the lives of those struggling, using the power of breath to penetrate the subconscious mind and release trapped trauma. Trauma can manifest physically or mentally, often without us even realising. As we oxygenate the body, it comes alive - memories and emotions arise. I’m here to hold the space for you, the style of breath I work with is long journeying, nurturing, deep, feminine, gentle… Everything you want when you’re working through emotions. I’m devoted to reconnecting you to the power within, as we transform your trauma on a cellular level, liberating you from any pain as you step into your power.*﻿This session is just a light taster experience, for deeper healing I offer 1:1 sessions*To prepare:#﻿breathwork #wellness #healing #heal #pranayama #yoga #shaman #angels #loss #grief #trauma #anxiety #wicca #meditation #free #freeclass",POINT (37.786397 -122.289598)
727,SKETCH TUESDAY,"Tue, February 21, 2023, 5:00 PM – 9:00 PM PST","111 Minna Gallery 111 Minna Street San Francisco, CA 94105-3701","111 Minna Gallery • San Francisco, CA","T﻿his upcoming Sketch Tuesday will coincide with 111 Minna's current exhibition 'Year of the Tiger', curated by SF's Seventh Son Tattoo. Sketch Tuesday will be curated by Henry Lewis and D Young V. Thirty artists will be drawing live for the public and selling their drawings for affordable prices. Many of the artists participating in Sketch Tuesday are featured in 'Year of the Tiger'. Music will be provided by SF legend David Choong Lee!!!!",POINT (37.7874657 -122.3993218)
728,Escape Corporate: Employee to Entrepreneur - San Francisco,"Multiple Dates Mon, Feb 27, 2023, 8:00 PM PST","Online Online Webinar San Francisco, CA 94111","Online • San Francisco, CA","Are you a corporate executive or corporate employee who wants to escape the rat race and become your own boss?Then you won't want to miss this webinar! You will discover:Come discover how you can set your own schedule, work from anywhere in the world, have unlimited upside potential, and do something that actually fulfills you.The presenter helps people start a business that makes a difference, and to have it off the ground and profitable in eight weeks or less (even if they have no idea how to start). He used to be in the Rat Race, working at Morgan Stanley, Merrill Lynch, and Microsoft, but now has the freedom to live anywhere, doing what he loves, and is making more money than ever before. During the training he will share with you the lessons he has learned and the mistakes he has made so you can achieve similar success in less time.This is an online training so you can watch it from anywhere. After you register here on Eventbrite you will receive email reminders with the link to join.  Be sure to have a paper and pencil ready since you will want to take a lot of notes.See you on the webinar!",POINT (37.799367 -122.398407)
729,"Join a unique partnership of two great companies, located in 20 countries!","Multiple Dates Thu, Nov 30, 2023, 4:00 PM PDT","Hotel Fairmont San Francisco 950 Mason Street San Francisco, CA 94108","Hotel Fairmont San Francisco • San Francisco, CA","Join a unique partnership of two great companies, located in 20 different countries. Growing strong presence in the UK. Make a fresh start and help others that want more out of life than just punching a clock. Take control of your life, become debt free while creating financial freedom, and leave a “Real Legacy” for your family!Work anywhere from your cell phone and laptop. Work Full-Time, Part-Time, Work any Time! Be the BOSS!The biggest adventure you can ever take is to live the life of your dreams.Attend a private 1 hour online “Information and Question Session” Thursdays 8pm EST., 7pm CST., 5pm PST (Saturdays 1pm CST, 2pm EST, 11am PST). Learn how you can become a part of the largest industry in the world of “TRAVEL”!!!!!Let’s have a Business Conversation TODAY.Enjoy the short video, See you soon.http://vimeo.com/324374319?iframe=true&width=640&height=360*DUE TO THE PANDEMIC THIS WILL BE A VIRTUAL EVENT VIA ZOOM*ONCE YOU REGISTER THE ZOOM INFORMATION LINK FOR THE SESSION WILL BE SENT TO YOU BY EMAIL.**Invited By: Loma D’Oyley-Garland",POINT (37.792319 -122.41082)
730,MINDSHOP™️| AI FOR ALL,"Multiple Dates Sat, Feb 7, 2026, 8:00 PM PDT","Your Laptop . . SAN FRANCISCO, CA 00000","Your Laptop • SAN FRANCISCO, CA","Artificial Intelligence, what's going on?Learn what Artificial Intelligence (AI) is by understanding its applications and key concepts.*pre-recorded*Mindshop Agenda: Who is this course for?",POINT (34.566424 -118.173393)
731,Luminescent SoundBath in North Beach,"Multiple Dates Fri, Dec 29, 2023, 6:30 PM PST","Glow Yoga & Wellness 1548 Stockton Street (North Beach) San Francisco, CA 94133","Glow Yoga & Wellness • San Francisco, CA","Clear out your inner webs - join us for Friday Happy Hour Blissout.We recommend you join both classes to unwind your mind & body into a joyful weekend:- 4:20p Yin Yoga with Hot Stones- 5:30p Restorative SoundBathSoundBath is a powerful meditative experience, a passive way to restore and harmonize the energies of our body: physical, mental, and emotional. During Glow SoundBath you are offered to lie down in a supported restorative pose with yoga bolsters and blankets..and as you rest, powerful raw organic sound vibrations shower you from head to toe. The founder Natasha comes from a classical piano background, weaving her own melodies into a hypnotizing musical flow. You are led through a sound journey with a few instruments following one another, washing away your mental chatter, nurturing your brain, stimulating alpha, and theta brain waves, and bringing you to a healing parasympathetic state. With regular practice people experience beautiful colorful visions, reaching a deep state of internal exploration, insight, and serenity. Expect to feel completely blissed out this Friday: please enjoy every bite of your dinner, and maybe even a bubble bath. Please try to protect that created space by not watching TV. With anxiety, insomnia, and depression levels on the rise, we hope all of us can use sound meditation as a regular weekly selfcare.This is included in $49 1-Week Trial, $150 Glow Membership, and regular class rates apply: $40 each class , or $500 for 20 . Enjoy both evening classes, and other daily classes for sustainable selfcare. We can also schedule a PRIVATE  SoundBath for your group 3-20ppl for $300  at Glow, www.glowyogasf.com/product-page/soundbath Reservations: close 4h before the class on Eventbrite. I﻿f you missed the Reservation Window on Eventbrite - please book directly via our Class Schedule >Arrivals:  Please arrive at least 10 minutes before the event to set up. We lock the doors once the experience begins. No refunds for missed reservations. Location: 1548 Stockton Street 2nd floorParking: North Beach Parking Garage is at 735 Vallejo ($5/h)Bring: nothing, everything is providedRefunds: none. You can reschedule 24h before the event for next week's SoundBath, or any class  on schedule via our  web Chat www.glowyogasf.com With LOVE,Caitlin & Natasha",POINT (37.8000761 -122.408999)
732,Any Book of the Month Club: A salon for book people and their friends,"Multiple Dates Sat, May 27, 2023, 10:00 PM PST","Fabulosa Books 489 Castro Street San Francisco, CA 94114","Fabulosa Books • San Francisco, CA","A salon to celebrate the love for reading at our fabulous bookstore.Come ready to talk about books you love or thought you should like better. You already have something in common with everyone who attends! This is a chill salon for book people.  Meet new friends!Discover new favorite books!Have tea and cookies !Fourth Saturdays of each month.  HERE, at Fabulosa Books",POINT (37.7611148 -122.4349108)
733,Volunteer w/Uhuru Foods & Pies @ the Grand Lake Farmers Market,"Multiple Dates Sat, Dec 30, 2023, 3:00 PM PST","Splash Pad Park (Farmer's Market) 746 Grand Avenue Oakland, CA 94610","Splash Pad Park (Farmer's Market) • Oakland, CA","Hello Future Volunteers!Do you like to serve customers, train people and be outside? And/or do you want to learn how or gain more experience working in a real food booth? Then volunteer at our food booth on Saturdays where we sell our delicious sweet and savory pies at the Grand Lake Farmer’s Market in Oakland! Uhuru Foods & Pies is one of the economic institutions of Black Star Industries (BSI) and it is about putting the means to grow, produce and distribute fresh food into the hands of African people.The vision of Uhuru Foods & Pies includes the goal for Africans to control their own land, farms, trucking, baking, cooking and distribution of food, none of which African people are currently able to carry out on a large scale inside the U.S., Africa or anywhere in the world today. This is what prosperity and and self-determination for present and future generations of African people worldwide will look like.Just pick a Saturday from 7AM - 11AM or 11AM-3PM or 9AM-3PM at the Grand Lake Farmer’s Market in Oakland (hours are negotiable if you can’t work the full time). And/or if you would like to take on an internship, you will gain experience in these areas:- Leadership skills- Managerial skills- Training skills- Troubleshooting skills- Customer service skillsWe have many other ways to get involved with Uhuru Foods and Pies with baking, operations, delivery and remotely through social media, recruitment, sales, etc! Come to our meetings to find out more, sign up here: https://tinyurl.com/22openmeeting
You may also call us at 800-578-5157 or email at oakland.volunteer@uhurufoods.orgWe have COVID safety protocols in place.Thank you! We look forward to working with you!",POINT (37.810001 -122.249209)
734,San Francisco Speed Dating | Ages 29-42 | Singles Event |SpeedCalifornia,"Thu, February 23, 2023, 7:00 PM – 9:00 PM PST","Press Club 20 Yerba Buena Lane San Francisco, CA 94103","Press Club • San Francisco, CA","A low key, sophisticated approach to dating in San Francisco. Preferring a 'less is more' environment devoid of typical event trappings. Gone are the name-tags, shouting and over-the-top party trimmings. Meeting your special someone shouldn't be anything but a comfortable and relaxed experience. Creating a private club atmosphere while recognizing our clients are also our product - we reward lovely daters with discounts and complimentary events and refuse service to anyone we don't think you'll fancy meeting. This is where being lovely has it's perks!The perfect opportunity to find a companion for concerts, festivals or shows. Unleash your inner foodie, adventure junkie or health and wellness guru with someone just like yourself.Speed Dating @ Press Club - February 23rd 2023Ages: 29-42 | 7PM20 Yerba Buena Lane San Francisco, CA 94103https://www.speedcaliforniadating.com/ SpeedCalifornia Dating & Matchmaking----Extra! Extra! Read all about it! From news articles to nationally televised events - find out what everyone's talking about! Click here!--Also proud to offer our Blind-Date Matchmaking with packages ranging from $595-$945, please Click here.Need a bit of advice or guidance? From profiles to relationship coaching, learn more about our Advice Packages by clicking here.",POINT (37.7859991 -122.4044428)
735,Soulful Flow: Vinyasa Yoga with Anne Rene,"Sat, February 25, 2023, 9:30 AM – 10:45 AM PST","The Berkeley Alembic 2820 Seventh Street Berkeley, CA 94710","The Berkeley Alembic • Berkeley, CA","Soulful flow is a robust vinyasa yoga class that brings balance to the body, mind and spirit. Anne-René has always been drawn to the spiritual side of life and yoga. This influences her movement meditations that are physically challenging and inspiring to the heart. Her class intertwines asana, breath, awareness, attention to transition and experiencing a personal connection to the movement that opens the door for a meditative flow to wake you up. Hand mudras, chanting, inspired readings, and music are incorporated into the class.About the teacher: Anne-René is a dance artist, Alexander Technique teacher and the artistic director of Sculpted Motion. She began her yoga studies back in New York City in the 1990's. In 2008 she received her Vinyasa yoga teaching certification from the White Lotus  Foundation.  She is inspired and influenced by her many teachers and studios: Ty Landrum, Sara Baird, Erin Dudley, Keith Borden, Cindi Lee's Om Yoga Center, Laughing Lotus Yoga, and the anatomical teachings of Irene Dowd and Leslie Kaminoff.  Other influences are Krishnamurti, Ram Das, Kundalini yoga, Gaga, and Gyrotonic. ""I have always expressed myself through movement. I find inspiration in watching the sky, feeling the sun on my skin and the wonderment of the night sky. Trees are amazing, animals are graceful, poetry can bring me to my knees. I find comfort in the resiliency of the human spirit and kind words from my friends. There is a fullness and flow to life that I know exist and I find comfort in knowing that I am a work in progress flowing toward it.""",POINT (37.854903 -122.292503)
736,Thursday Night Ecstatic Dance SF - Ean Golden - 2/23/23,"Thu, February 23, 2023, 7:00 PM – 10:10 PM PST","554 Fillmore St 554 Fillmore Street San Francisco, CA 94117","554 Fillmore St • San Francisco, CA","Thursday Night Ecstatic Dance San Francisco with Ean Golden!Feb. 23, 2023Doors Open: 6:45pmContact Improv: 7pm - Shannon SahajaOpening Circle: 7:45pmEcstatic Dance: 8pm - Ean GoldenMeditation: 10pmGood Night: 10:10pmDJ: Ean Golden -For more than 20 years, Ean Golden has been touring the worlds largest clubs and festivals, changing the landscape of Dj technology forever. He is the leading expert in modern DJing and created the ""controllerism"" movement of DJ performance. He’s created equipment used by artists including Skrillex, Bassnectar and Stimming, as well as designing some of the top selling DJ technology in the world for companies like Native Instruments and Novation. With an online community of millions who follow him on his blog and Facebook, Ean has garnered deep respect and legendary status as a innovator who continues to raise the bar for what a DJ can do.Contact Improv: Shannon Sahaja is a dedicated yogini, dancer, artist and lover of the earth. With 17 years of experience as a movement facilitator, Shannon is devoted to inspiring students to experience their own essence through play, spontaneity and nourishment.She holds a BFA in Dance from S.U.N.Y Purchase, has been practicing Contact Improvisation for 2 decades, and is the Creative Director for Sunday Ecstatic Dance OaklandWe only ask that you refrain from:1. Talking on the Dancefloor2. Using your Phone3. Wearing Shoes4. Using Substances (Be Yourself!)Tickets: $25 at the DoorCircle Passes Welcome (5 for $100)Thank You for Respecting the Space so that everyone may Move, Celebrate, Heal, & Pray in their own unique way... Together.Thank You for Being Alive and Sharing your Beautiful Self with The World!Thank You for Bringing YourselfAnd Dancing and Transforming,Playing and Praying!",POINT (37.774497 -122.430832)
737,Break into Tech - Oakland,"Thu, 23 Feb 2023, 6:30 PM PST","2323 Broadway 2323 Broadway Oakland, CA 94612","2323 Broadway • Oakland, CA","Did you know that the average tech salary is nearly double the U.S. national average in other fields? Join us for an event and learn how you can break into tech.Attend our Break into Tech event for an opportunity to:Please note: Participants must hold a bachelor’s degree or be nearing college graduation to participate.Join any of our upcoming Break into Tech events, whether virtually or in person. Select the event that works best for you on the registration form on the registration page. Register here!",POINT (37.8126132 -122.2663918)
738,Gaucho at DecoDance,"Multiple Dates Thu, Sep 7, 2023, 10:30 PM PST","DecoDance Bar 1160 Polk Street San Francisco, CA 94109","DecoDance Bar • San Francisco, CA",,POINT (37.7875516 -122.4199558)
739,Step by Step Guide For 100  Actions To Take When Starting Your Business,"Multiple Dates Sun, Dec 31, 2023, 4:30 PM PST","San Francisco Online San Francisco, CA 94016","San Francisco • San Francisco, CA","When I started my business, I was winging it. I read business books, did research on the Internet but there was never a step-by-step guide to tell me what I needed to do, how, when, or in what order. S﻿o I followed what I was being told and reading about: Wrote my business plan, with a marketing plan and a social media posting strategy. Let me tell you, everything got overwhelming, real fast. Then people started to advise me to go get an MBA. Their reasoning was an MBA would answer all my questions and solve all my business problems. Note: If you have an MBA, I'm proud of you because it is a great accomplishment.I﻿, however, didn't have the time and resources to go back to school for a business degree. See, I was unemployed. When I started my business, my unemployment  checks were coming to the end, really fast. I spent nearly 6 months looking for a new job. My problem was that I was looking for the same type of work I did, for the same pay or higher. That didn't work out. But this is a story for another day.Amongst the chaos, I had a business idea. After an interview, where they went with another candidate, I decided to take a leap of faith to start my own business; a party furniture sales and rental company.F﻿ive years later, I sold part of the furniture company. Now I work completely online creating and selling digital products and services.T﻿his course is a free introduction to the 100 actions I should have taken when I started my business, in the order they are meant to be taken.  I﻿ was doing everything, all the time, in no particular order. But then over time, I begun recording my processes. I found so many areas that I could improved on, if only I had taken certain action at the very start of my business. I realized, I was what I called, ""an after the facts person."" You don't want to be that person in business. It is the worse feeling.O﻿ne very simple example is setting up working hours. Make sure to do this at the very beginning of starting your business. I never thought about doing that. I paid for it dearly and missed milestone events with family and friends. I worked non-stop, 7 days a week and took so much pride in it. And guess what? Since I had no set hours, everyone treated my business like it was open 24/7. Now, I only work from 10am-4pm, Monday to Thursday. When I'm with loved ones, I'm focused on them, not on work. When I go on vacation, I leave my work phone at home. I don't check messages or voicemails, until I return from vacation and back to work.I﻿ want the same thing for you, as an entrepreneur. You deserve happiness while building your business- Stressed and overworked are OUT. Easy navigation systems, working tools and freedom to do your work anywhere are IN.T﻿his introductory course is roughly 15 minutes long. I share with you 100 action items I should have taken, one step at a time.T﻿hen if you want, you can purchase the full course: I go over each step in great details. You'll have access to the slideshows that contain the tools, and the systems  to use and in what order. W﻿HO SHOULD TAKE THIS COURSE?E﻿ntrepreneurs or anyone interested in starting a business but don't know how to get started.W﻿HY WOULD I WASTE MY TIME ON YOUR COURSE?T﻿his intro video is roughly 15 minutes long and it's 100% free, no obligations. You can just grab the list of 100 actions and not watch the video. But I want to tell you this, if you spend more than 15 minutes today scrolling on social media, did those 15 minutes help grow your business? I guarantee you will learn something new from my list. Unless learning new things isn't your thing. That, I understand.M﻿Y BUSINESS IS DIFFERENT, IS YOUR COURSE APPLICABLE TO IT?I﻿ had a novel business, throne chairs and I applied the steps in this course to grow my business to 6-figures. I believe my step by step guide can be applied to grow any type of business in 2023 and beyond.W﻿HY WOULD WE LISTEN TO YOU, YOU ONLY GREW YOUR BUSINESS TO 6-FIGURES?Y﻿ou do not have to listen to me. But I have to tell you building a 6-figure business, per year, is not as easy as people think. Some fields, reaching 6-figures right away is the norm. But this is not true for all fields. Believe me, this comprehensive step by step guide will get you to 6-figure much faster than I did. I believe you will have more knowledge than I did when I got started. You will probably build a million dollar business. Your possibilities are based on the actions you take today and in the right order. And with my list, you'll always know what action to take and will never miss an opportunity to grow.",POINT (37.684806 -122.397371)
740,Skate Park Tour,"Sat, Feb 25, 2023, 11:00 AM PST","Waller Street Ledges 755 Stanyan Street San Francisco, CA 94117","Waller Street Ledges • San Francisco, CA","W﻿e're hosting a Skate Park Tour event around the Bay Area every Saturday from 2/18-3/11 starting at the Hamilton Skate Park in Novato, Waller Street Ledges in San Francisco, Freemont Skate Park, and finally SOMA West Skate Park in San Francisco. All the events require a sign-up for participation beginning at 11AM. The first event will begin at 12PM and continue from there. You can pre-sign up and pre-purchase raffle tickets at Matt's Board Shop in Novato, CA. Make sure to get the raffle tickets before they're gone!",POINT (37.770361 -122.435897)
741,Urban Arterial : Jules Campbell & Julie V. Garner,Multiple Dates PST ,"GearBox Gallery 770 West Grand Avenue #suite b Oakland, CA 94612","GearBox Gallery • Oakland, CA","Intrigued by the meandering geometrics and grit of city streets, with their attendant subterranean grids of sewers and pipelines, the artists contemplate and respond to the multilayered complexity that sustains and contains life in the city.Campbell employs an intensive process compiling discarded materials in dense multilayered collages and then abrading the surface. This process mirrors the repeated cycles of construction and decay in these types of environments.Garner weaves cut photographs, taken from multiple angles, to achieve the desired degree of abstraction and transition between images. Each tapestry consists of hundreds of splices that confounds the senses and slows down the process of seeing. February 16 - March 18, 2023Artists’ reception: Saturday, February 18, 1-4pmArtist talk: Saturday, March 4, 2pm",POINT (37.813258 -122.275073)
742,Private Shopping at SOU•SOU SF,"Multiple Dates Wed, Mar 29, 2023, 3:45 PM PDT","SOU•SOU San Francisco 1746 Post Street NEW PEOPLE 2nd Floor San Francisco, CA 94115","SOU•SOU San Francisco • San Francisco, CA","Secure your slot by clicking the “Select A Date” tab.For your questions and concerns, please contact us at sou_sou@newpeopleworld.com.  Online shopping is also available at www.sousouus.com.Thank you very much for your support during this difficult time. We are looking forward to seeing you at the store!SOU•SOU San Francisco Store",POINT (37.779295 -122.395304)
743,Community Quilt Project,"Multiple Dates Thu, Mar 2, 2023, 1:00 PM PST","North Berkeley Senior Center 1901 Hearst Avenue Berkeley, CA 94709","North Berkeley Senior Center • Berkeley, CA","Artist Bio: Cordy Joan (they/them)​​Cordy is a textile artist and poet currently living in the world of quilts, dyes and community workshopping. They want to explore if learning to mend together might be a useful survival skill. They are white and grew up as an uninvited occupant on Lenape land, currently living and working in the traditional lands of the Ohlone people. Event Description: In honor of the Pacific Center’s 50th Anniversary, artist Cordy Joan is working with community members to make group quilts. At this workshop, participants will be guided through a series of reflection and drawing activities exploring themes of personal mapmaking. This process is open to community members of all levels. Don’t be afraid to jump in and have fun!* After the workshop, your drawings will turn into a collective fabric piece celebrating our Pacific Center community. *There will be opportunities for more experienced textile artists to get involved at various levels, with some paid opportunities. Stay in touch to learn more!If you have any questions you can contact: quiltproject@pacificcenter.orgSession Dates/Times:We are offering the same workshop on each of the dates listed. Please select one date when you reserve your spot.  This workshop will be held on the following dates/times: Food and beverages will be provided.",POINT (37.8737051 -122.272828)
744,MUTT + DRAINER + NO LIGHTS + LITTLE LOW,"Fri, February 24, 2023, 9:00 PM PST , Doors at 8:00 PM","The Golden Bull 412 14th Street Oakland, CA 94612","The Golden Bull • Oakland, CA",MUTT DRAINER  (ALBUM RELEASER)NO LIGHTSLITTLE LOW,POINT (37.8041622 -122.270361)
745,Stokepreneur! It's a lifestyle thing... -SF,"Multiple Dates Tue, Dec 26, 2023, 10:00 AM PST","San Francisco Online Via Zoom San Francisco, CA 94118","San Francisco • San Francisco, CA","An  all-in-one, easy, simple, and fun, highest and best practice, life skills, and strategic approach with a platform and community for implementation so we can all achieve our greatest desires  and live a life we fall madly in love with that we would trade with no one!We refuse to get to the end of our life and wonder what could have been!That's why. This is how:  The '7 Days Of Stoke"" intro course!🔥 Discover your Purpose🔥 Get Clarity🔥 Juicy Goals🔥 Your Reason for Being🔥 Your Unique 2-minute Daily Do🔥 The Success Habit, CAW!We build habits that unlock our greatest potential.This is the most practical, meaningful, and magical place to support, inspire and celebrate the journey together!",POINT (37.778779 -122.459982)
746,One Team Scavenger Hunt Golden Gate Park San Francisco,"Multiple Dates Wed, Jun 7, 2023, 9:00 PM PDT","Recommended Parking to Begin Adventure 55 Music Concourse Drive San Francisco, CA 94118","Recommended Parking to Begin Adventure • San Francisco, CA","Puzzling Adventures™ are a cross between a scavenger hunt, an adventure race, and an informative self-guided tour. Each adventure consists of a series of locations that you are guided to where you are required to answer questions or solve puzzles to receive your next instruction. All you need is your own mobile device and an Internet connection.Young and old, individuals, families or friends. Participate in a group, as a couple, or individually. Create multiple teams and race each other. Almost all of our adventures are designed to be wheelchair and stroller friendly and all are carefully crafted to be entertaining and informative with something to appeal to all ages.Because our adventures are self-guided you can play any time on any day - no reservations required! Complete the adventure as quickly as possible to win first place or take your time and smell the roses. The goal is to have fun enjoying the sights, sounds, smells and tastes of the various locations you will visit.Price is per team, not per person. Groups can be any size, but teams of two, three or four work best.If you have any questions please visit the Help page on our web site at https://puzzlingadventures.com/faq.phpWhat time does this start?You can start at any time of your choosing. We recommend going out during daylight hours. Duration averages around two hours to complete but location specific times can be found on our web site.What are my transportation/parking options for getting to and from the event?Each adventure will have a starting location that is usually a parking lot or parking garage. You may use the recommended parking, but it is not required. You will need to get to the suggested parking location to begin the adventure.What's the refund policy?We will accept all refunds as long as the adventure has not been started.Do I have to bring my printed ticket to the event?You will only need a mobile device with an Internet connection. All registration is done via our website and you will not have to check in with anyone before you start your adventure as the game is self-guided.",POINT (37.724382 -122.425302)
747,Dylan’s Night Tour,"Multiple Dates Thu, Mar 23, 2023, 8:30 PM PDT","Mister Bing's 201 Columbus Avenue San Francisco, CA 94133","Mister Bing's • San Francisco, CA","We’ve handpicked residents that represent San Francisco and its dynamic culture to host these amazing evenings. This can range between comedians, actors, musicians, mixologists, and local talents. We work with these locals to curate a unique and personal outing that showcases a favorite bar and view spot within San Francisco, as well as one secret spot. Every week is different and provides an opportunity to experience the city in a variety of dynamic ways.",POINT (37.797065 -122.405513)
748,Prototype 1,"Sat, February 25, 2023, 12:00 PM – 2:00 PM PST","RICH CITY gallery 1500 C Macdonald Ave Richmond, CA 94801","RICH CITY gallery • Richmond, CA","RICH CITY Anime Gamercon presents: Prototype 1What is it?Prototype 1 is your opportunity to beta-test the RCAG Street Fighter 5 tournament. Register to join RICH CITY Rides and Go To Work Fitness to bring the first BIPOC Anime Gamercon to the bay area. Where:1500 Macdonald Ave. Suite C (on 15th street with the big mural and roll up door)Richmond, CA 94801When: Feb 25, 2023, 12pm - 2pm",POINT (37.93571 -122.355208)
749,San Francisco Lesbian Speed Dating | Let's Get Cheeky! | Singles Event,"Fri, February 24, 2023, 7:00 PM – 9:00 PM PST","S&R Lounge | Hotel Zetta 360 Jessie Street San Francisco, CA 94103","S&R Lounge | Hotel Zetta • San Francisco, CA","Our events offer a fresh alternative to speed dating and matchmaking. We don't find anything romantic about whistles, name-tags or over-the-top party trimmings typically found at singles events so we have done away with them. Creating an atmosphere that is at once casual and comfortable. It's what we call cheeky-chic!Meeting your special someone shouldn't be anything but an enjoyable and relaxed experience. Creating a private club atmosphere while recognizing our clients are also our product - we reward lovely daters with discounts and complimentary events and refuse service to anyone we don't think you'll fancy meeting. This is where being lovely has its perks!Offering uncompromising value with unparalleled service. Lovely venues and our lovely Hosts to assist you with anything or anyone.For those that prefer a more intimate one on one experience - learn more about our Blind-Date Matchmaking with Complimentary Events here.---Lesbian Speed Dating @ S&R Lounge | Hotel Zetta - February 24th 2023Ages: 22-44 | 7PM360 Jessie St, San Francisco, CA 94103https://www.mycheekygaydate.com/MyCheekyGayDateSee what all the fuss is about! From Marie Claire to The New Yorker, from Top Chef Masters to Bravo's 'Rate The Date', find out why everyone can't stop getting cheeky by clicking here!",POINT (37.783411 -122.406692)
750,BLACK WOMEN WELLNESS WEDNESDAYS – FEBRUARY (Black Liberation Month),"Multiple Dates Wed, Feb 22, 2023, 8:00 PM PST","Rich City GALLERY 1500C Macdonald Avenue Richmond, CA 94801","Rich City GALLERY • Richmond, CA","FREE activity! Well-ventilated 😷LOCATION: Rich City Gallery is behind Rich City Rides Bike Shop (off of 15th street and near RED parking gate).ABOUT THIS EVENT Now that January’s resolutions are in the rear-view mirror and the bona fide work for 2023 genuinely begins, we will set and discuss two-three personal goals, while offering sisterly encouragement for achievable success. To also honor Black History (Liberation) Month 2023 and its theme, “Black Resistance”, we will discuss Black (African American) individuals, such as family members, educators, scholars, activists, etc.), who have positively influenced her life during challenging times and/or civil unrest. It is important to look back at the past to understand the present, and then be empowered by the ancestral foundation to create stronger building blocks for the future.  This, along with shared healthy coping tools can support staying on the wellness path, especially with the systemic and most recent violent events against Blacks in America.Black History Month Facts Click here to learn moreBlack Women Wellness Wednesdays is a healing-and-mindfulness space for cisgender Black Women to get familiar, be vulnerable and speak her truth.  It also connects women of all ages, encourages positive and non-judgmental dialogue, and builds individual-and community betterment.  Limited to 10 women to maintain an intimate environment.Please share this with family, friends and neighbors!  For more info, email info@richcityrides.org or call non-profit (510) 288-0944.  To keep this movement going, at no cost, kindly made a tax-deductible donation to Rich City Rides by way of our fiscal agent, Urban Tilth https://www.richcityrides.org/donate",POINT (37.93571 -122.355208)
